,node_loc,technology,year_vtg,lvl,mrg
0,Norway,bio_istig,2010,0.0,0.0
1,Norway,bio_istig,2015,0.0,0.0
2,Norway,bio_istig,2020,0.0,0.0
3,Norway,bio_istig,2025,0.0,0.0
4,Norway,bio_istig,2030,0.0,0.0
5,Norway,bio_istig,2035,0.0,0.0
6,Norway,bio_istig,2040,0.0,0.0
7,Norway,bio_istig,2045,0.0,0.0
8,Norway,bio_istig,2050,0.0,0.0
9,Norway,bio_istig,2055,0.0,0.0
10,Norway,bio_istig,2060,0.0,0.0
11,Norway,bio_istig,2065,0.0,0.0
12,Norway,bio_istig,2070,3.1171231,0.0
13,Norway,biomass_i,1995,0.0,0.0
14,Norway,biomass_i,2000,0.0,0.0
15,Norway,biomass_i,2005,0.0,0.0
16,Norway,biomass_i,2010,0.0,0.0
17,Norway,biomass_i,2015,0.0,0.0
18,Norway,biomass_i,2020,0.24890998,0.0
19,Norway,biomass_i,2025,0.012112376,0.0
20,Norway,biomass_i,2030,0.0,0.0
21,Norway,biomass_i,2035,0.0,0.0
22,Norway,biomass_i,2040,0.0,0.0
23,Norway,biomass_i,2045,0.0,0.0
24,Norway,biomass_i,2050,0.0,0.0
25,Norway,biomass_i,2055,0.0,0.0
26,Norway,biomass_i,2060,0.0,0.0
27,Norway,biomass_i,2065,0.0,0.0
28,Norway,biomass_i,2070,0.0,0.0
29,Norway,biomass_nc,1990,0.0,0.0
30,Norway,biomass_nc,1995,0.0,0.0
31,Norway,biomass_nc,2000,0.0,0.0
32,Norway,biomass_nc,2005,0.0,0.0
33,Norway,biomass_nc,2010,0.0,0.0
34,Norway,biomass_nc,2015,0.0,0.0
35,Norway,biomass_nc,2020,0.0,0.0
36,Norway,biomass_nc,2025,0.0,0.0
37,Norway,biomass_nc,2030,0.0,0.0
38,Norway,biomass_nc,2035,0.0,0.0
39,Norway,biomass_nc,2040,0.0,0.0
40,Norway,biomass_nc,2045,0.0,0.0
41,Norway,biomass_nc,2050,0.0,0.0
42,Norway,biomass_nc,2055,0.0,0.0
43,Norway,biomass_nc,2060,0.0,0.0
44,Norway,biomass_nc,2065,0.0,0.0
45,Norway,biomass_nc,2070,0.0,0.0
46,Norway,coal_extr,1990,0.0,0.0
47,Norway,coal_extr,1995,0.0,0.0
48,Norway,coal_extr,2000,0.0,0.0
49,Norway,coal_extr,2005,0.0,0.0
50,Norway,coal_extr,2010,0.0,0.0
51,Norway,coal_extr,2015,0.0,0.0
52,Norway,coal_extr,2020,0.0,0.0
53,Norway,coal_extr,2025,0.0,0.0
54,Norway,coal_extr,2030,0.0,0.0
55,Norway,coal_extr,2035,0.0,0.0
56,Norway,coal_extr,2040,0.0,0.0
57,Norway,coal_extr,2045,0.0,0.0
58,Norway,coal_extr,2050,0.0,0.0
59,Norway,coal_extr,2055,0.0,0.0
60,Norway,coal_extr,2060,0.0,0.0
61,Norway,coal_extr,2065,0.0,0.0
62,Norway,coal_extr,2070,292.82175,0.0
63,Norway,coal_adv,2010,0.0,0.0
64,Norway,coal_adv,2015,0.0,0.0
65,Norway,coal_adv,2020,0.0,0.0
66,Norway,coal_adv,2025,0.0,0.0
67,Norway,coal_adv,2030,0.0,0.0
68,Norway,coal_adv,2035,0.0,0.0
69,Norway,coal_adv,2040,0.0,0.0
70,Norway,coal_adv,2045,0.0,0.0
71,Norway,coal_adv,2050,0.0,0.0
