Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1151;Solnør Gård;Kraftverk;;;Møre og Romsdal;15;Skodje;29;01.01.1913;01.01.1913;0.01;0.05;;;;3;101.2A
1193;Tynna;Kraftverk;TYNNA KRAFTVERK SA;970959920;Trøndelag;50;Rennebu;22;01.01.1913;01.01.1913;0.07;0.30;;;;3;121.C1
899;Dyrbakk;Kraftverk;MODUM KRAFTPRODUKSJON KF;971030674;Buskerud;6;Modum;23;01.07.1913;01.07.1913;0.57;2.50;;;;1;012.D52
153;Hogstad;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Siljan;11;01.08.1913;01.08.1913;9.60;45.06;135,5;8,5;0,313;2;1.54E+03
347;Røstefoss;Kraftverk;REN RØROS STRØM AS;919884428;Hedmark;4;Os i Hedmark;41;04.10.1913;04.10.1913;3.00;20.40;9,5;40;0,021;1;002.Q12
866;Børter 1;Kraftverk;BØRTER E VERK ANS;970458883;Akershus;2;Enebakk;29;01.01.1914;01.01.1914;0.45;2.00;;;;1;002.C4B
324;Osfallet;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Åmot;29;01.01.1914;15.10.1956;5.60;8.20;40,79;18,09;0,086;1;002.JBA1
1178;Søfferud;Kraftverk;;;Oppland;5;Søndre Land;36;01.01.1914;01.01.1944;0.02;0.10;120;;;1;012.EC40
1397;Vannebo;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Overhalla;47;31.01.1914;31.01.1914;0.79;3.20;;;;3;139.A2C
622;Ål;Kraftverk;ÅL KRAFTVERK KF;971030577;Buskerud;6;Ål;19;01.03.1914;01.03.1914;3.20;13.41;30,5;11,85;0,075;5;012.CE5
146;Hetland;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hå;19;01.01.1915;03.01.1983;1.48;6.48;55,3;3;0,137;2;027.6B
232;Longerak;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Bygland;38;01.01.1915;01.01.1915;1.30;6.63;298;0,69;0,515;2;021.D30
953;Lundsfoss;Kraftverk;LUNDSFOSS KRAFTSTASJON AS;959395721;Akershus;2;Aurskog-Høland;21;01.01.1915;01.01.1915;0.70;2.50;;;;1;001.FA
972;Spigerbruksfallet;Kraftverk;BÆRUM KOMMUNALE EIENDOMSSELSKAP AS;982434289;Akershus;2;Bærum;19;01.01.1915;01.01.1915;0.38;1.00;;;;1;008.AA0
1176;Svatsum 1;Kraftverk;SVATSUM ELEKTRISITETSVERK AS;916452705;Oppland;5;Gausdal;22;01.01.1915;01.01.1915;0.90;4.00;;;;1;002.DDFA
429;Såheim;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Telemark;8;Tinn;26;01.01.1915;01.01.1915;189.00;881.74;273;76,4;0,686;2;016.H4
449;Toverud;Kraftverk;HADELAND KRAFTPRODUKSJON AS;976465792;Oppland;5;Gran;34;01.01.1915;01.01.1915;6.00;13.88;230,1;3,09;0,537;1;012.EB42
1027;Leirbekken;Kraftverk;ORKDAL ENERGI PRODUKSJON AS;917019258;Trøndelag;50;Orkdal;24;23.01.1915;23.01.1915;0.95;4.00;;;;3;121.A1Z
529;Årlifoss;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Notodden;7;28.03.1915;28.03.1915;22.20;103.37;17,6;158,11;0,039;2;016.F61
488;Vamma;Kraftverk;E-CO ENERGI AS;976894677;Østfold;1;Askim;24;01.04.1915;01.04.1915;344.00;1506.80;27,5;950;0,067;1;002.B3
350;Sagebergfoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Melhus;28;01.06.1916;01.06.1916;1.20;3.96;26,6;5,94;0,056;3;122.2A
139;Sand;Kraftverk;SULDAL ELVERK KF;971034998;Rogaland;11;Suldal;34;16.09.1916;16.09.1916;3.50;16.43;326,8;1,1;0,722;2;036.A10
71;Eidsfossen;Kraftverk;GLOPPEN ENERGI AS;993039330;Sogn og Fjordane;14;Gloppen;45;01.01.1917;01.01.1917;7.00;50.26;32,5;26,3;0,074;3;087.A12
97;Fossmark;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Vaksdal;51;01.01.1917;13.02.1989;9.00;43.99;432;2,4;1,042;5;061.5Z
752;Kinso;Kraftverk;HARDANGER ENERGI AS;983502601;Hordaland;12;Ullensvang;31;01.01.1917;01.01.1917;4.10;21.10;111;4,35;0,262;5;050.1B2
955;Lauki og Melei;Kraftverk;LAUKI OG MELEI KRAFTLAG SA;970541896;Sogn og Fjordane;14;Stryn;49;01.01.1917;01.01.1917;0.10;0.74;;;;3;088.1A
475;Ulsteindal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ulstein;16;01.01.1917;01.01.1917;1.30;5.45;195;0,8;0,451;3;096.2A0
199;Kiste;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Siljan;11;25.02.1917;25.02.1917;5.87;21.27;43;15;0,078;2;015.4C
450;Trælandsfos;Kraftverk;TRÆLANDSFOS AS;916910363;Vest-Agder;10;Kvinesdal;37;30.06.1917;30.06.1917;10.00;31.11;25,7;45;0,062;2;025.B22
1069;Kvernerud;Kraftverk;KONGSBERG ENERGISELSKAP AS;863956692;Buskerud;6;Kongsberg;4;15.08.1917;15.08.1917;0.28;0.84;;;;1;015.C6A
340;Riksheim;Kraftverk;SYKKYLVEN ENERGI AS;979918224;Møre og Romsdal;15;Sykkylven;28;22.01.1918;10.10.2013;5.30;17.49;258,74;2,3;0,64;3;097.6A
1395;Mælafoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Stjørdal;35;01.09.1918;01.09.1918;0.94;3.10;38;2,6;;3;124.2Z
144;Herlandsfoss;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Osterøy;53;01.01.1919;14.10.1995;13.80;64.19;136;12;0,319;5;060.5A1
169;Høgefoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Telemark;8;Nissedal;30;01.01.1919;01.01.1919;25.00;139.23;64;47;0,148;2;1.90E+03
185;Istad;Kraftverk;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Molde;2;01.01.1919;01.01.1919;4.80;24.00;158;3,6;0,37;3;105.3A0
505;Vittingfoss;Kraftverk;RINGERIKSKRAFT PRODUKSJON AS;987293586;Buskerud;6;Kongsberg;4;01.01.1919;01.01.1919;33.50;135.30;20,1;201;0,047;2;015.C43
916;Palmafoss;Kraftverk;VOSS ENERGI PRODUKSJON AS;984665776;Hordaland;12;Voss;35;01.07.1919;01.07.1919;0.31;1.80;14;3;;5;062.FA0
48;Brødbølfoss;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Kongsvinger;2;01.01.1920;03.05.1976;2.40;13.88;40;8,02;0,082;1;313.A1D1
954;Dalane;Kraftverk;STRYN ENERGI AS;976626192;Sogn og Fjordane;14;Stryn;49;01.01.1920;08.12.2017;1.44;7.43;118,3;1,4;0,286;3;089.B7D
171;Hønefoss;Kraftverk;RINGERIKSKRAFT PRODUKSJON AS;987293586;Buskerud;6;Ringerike;5;01.01.1920;01.01.1920;29.40;119.89;21,5;160;0,051;1;012.F21
211;Kongsmarka;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;01.01.1920;01.01.1920;2.50;8.52;196;1,5;0,462;4;179.4B
248;Litledalen;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Etne;11;01.01.1920;01.01.1963;17.00;51.38;126;16,8;0,281;2;041.AB
