Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
404;Straumsmo;Kraftverk;STATKRAFT ENERGI AS;987059729;Troms;19;Bardu;22;10.02.1966;10.02.1966;130.00;704.39;229;70;0,516;4;196.AC4
514;Ørteren;Kraftverk;ØRTEREN KRAFTVERK HOL KF;970961755;Buskerud;6;Hol;20;01.11.1966;01.11.1966;10.00;32.28;157,69;7,51;0,37;5;012.CH9
178;Håen;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Melhus;28;10.11.1966;10.11.1966;25.00;133.50;212,69;14;0,495;3;122.AB
219;Kvanndal;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Rogaland;11;Suldal;34;01.01.1967;01.01.1967;40.00;186.62;314;14,98;0,74;2;036.BBA
312;Novle;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Hordaland;12;Odda;28;01.01.1967;01.01.1967;40.00;239.65;275;16,01;0,694;2;036.F0
409;Suldal II;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Rogaland;11;Suldal;34;01.01.1967;01.01.1967;150.00;771.53;559;31,48;1,322;2;036.B9
470;Tysso II;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Odda;28;15.01.1967;15.01.1967;224.00;1068.96;725;37;1,682;2;049.A42
287;Målset;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Vik;17;01.04.1967;01.04.1967;20.00;63.06;175;13,98;0,397;5;070.5BB
303;Nes;Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Nes i Buskerud;16;30.07.1967;30.07.1967;250.00;1492.91;285;110,05;0,63;5;012.CD20
482;Uvdal I;Kraftverk;SKAGERAK KRAFT AS;979563531;Buskerud;6;Nore og Uvdal;33;20.09.1967;20.09.1967;90.00;239.02;595;19;1,315;5;015.JB81
483;Uvdal II;Kraftverk;SKAGERAK KRAFT AS;979563531;Buskerud;6;Nore og Uvdal;33;20.09.1967;20.09.1967;40.00;152.27;193;25,03;0,444;5;015.JB2
424;Søa;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Hemne;11;10.11.1967;10.11.1967;37.00;207.45;273,2;16;0,625;3;119.1Z
196;Kalvedalen;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Vang;45;17.12.1967;17.12.1967;19.00;73.61;243,3;9,4;0,56;1;012.LE1
31;Blåfalli III H;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Kvinnherad;24;01.01.1968;01.01.1968;100.00;416.50;320;38;0,731;2;042.B2
361;Storlivatn;Kraftverk;Aktieselskabet Saudefaldene;915729290;Rogaland;11;Sauda;35;01.01.1968;01.01.1968;48.00;239.90;215;26,98;0,494;2;037.BB12
332;Refsdal;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Vik;17;13.01.1968;13.01.1968;90.00;455.13;513,59;21,01;1,19;5;070.D
330;Rana;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Rana;33;18.01.1968;18.01.1968;500.00;2183.80;505,29;115,73;1,2;4;156.AA
448;Tonstad;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Sirdal;46;26.06.1968;26.06.1968;960.00;4357.37;442;253,24;1,052;2;026.D32
188;Julskaret;Kraftverk;SELBU ENERGIVERK AS;980498646;Trøndelag;50;Selbu;32;31.08.1968;31.08.1968;7.00;26.78;106,8;8;0,243;3;123.B7CC
366;Siso;Kraftverk;SISO ENERGI AS;986530673;Nordland;18;Sørfold;45;07.09.1968;07.09.1968;180.00;916.34;650;33,7;1,484;4;166.4B
454;Trollheim;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;27.09.1968;27.09.1968;126.60;893.04;400;38;0,938;3;112.B0
433;Tafjord 4;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;21.11.1968;21.11.1968;110.00;519.18;430;29,98;1,019;3;099.A
510;Øgreyfoss;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Eigersund;1;01.01.1969;01.01.1969;15.20;72.30;65,69;20,93;0,145;2;027.3A
200;Kastdalen;Pumpe;STATKRAFT ENERGI AS;987059729;Hordaland;12;Kvam;38;01.01.1969;01.01.1969;-1.60;-4.51;0;1;-0,278;5;052.51A
341;Rolleivstadvatn;Pumpe;SKAGERAK KRAFT AS;979563531;Telemark;8;Fyresdal;31;01.01.1969;01.01.1969;-0.30;-0.95;0;1;-0,082;2;019.DCAC
463;Tverrvatn;Pumpe;STATKRAFT ENERGI AS;987059729;Nordland;18;Rana;33;01.01.1969;01.01.1969;-1.20;-3.70;0;2,59;-0,128;4;156.AF
246;Lio;Kraftverk;STATKRAFT ENERGI AS;987059729;Telemark;8;Tokke;33;13.02.1969;13.02.1969;43.00;305.70;346;13,98;0,854;2;016.BE2A10
77;Evanger;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Voss;35;03.03.1969;03.03.1969;330.00;1350.98;770;53,8;1,704;5;062.BA0
50;Byrte;Kraftverk;STATKRAFT ENERGI AS;987059729;Telemark;8;Tokke;33;09.09.1969;09.09.1969;20.00;135.34;285;8,01;0,694;2;016.BE2B
163;Hove;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Vik;17;09.12.1969;09.12.1969;60.00;390.93;318,2;21,98;0,758;5;070.6A
205;Klosterfoss;Kraftverk;SKIEN KRAFTPRODUKSJON AS;985316406;Telemark;8;Skien;6;27.12.1969;27.12.1969;10.50;92.12;5;240;0,012;2;016.A2
392;Småvatna;Kraftverk;KVÆNANGEN KRAFTVERK AS;913680294;Troms;19;Kvænangen;43;01.01.1970;01.01.1970;18.80;74.11;221;11;0,48;4;209.4AB
86;Fjone;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Nissedal;30;10.04.1970;10.04.1970;50.00;135.13;258;22,51;0,616;2;019.F420
122;Gråsjø;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;10.06.1970;10.06.1970;15.00;67.78;55;26;0,16;3;112.BB
191;Jørundland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Åmli;29;02.10.1970;02.10.1970;55.20;212.17;278,6;24;0,638;2;019.CB40
410;Sundsbarm;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Seljord;28;01.11.1970;01.11.1970;111.00;478.25;480;27;1,141;2;016.CC2
14;Åskåra 1;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Bremanger;38;13.11.1970;13.11.1970;85.00;383.64;665,29;12,5;1,562;3;086.6B0
912;Bæverfjord Gård Kraftverk;Kraftverk;;;Møre og Romsdal;15;Surnadal;66;01.01.1971;01.01.1971;0.02;0.07;;;;3;112.31
162;Hovatn;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Bygland;38;01.01.1971;01.01.1971;45.00;68.62;487,7;11;1,136;2;2.10E+12
493;Vemork;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Telemark;8;Tinn;26;01.01.1971;01.01.1971;204.00;953.03;300;75,8;0,748;2;016.H4
496;Vessingfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;01.01.1971;01.01.1971;40.00;95.36;50;93,37;0,119;3;123.F4
103;Gamlebrofoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Kongsberg;4;14.01.1971;14.01.1971;15.00;65.51;14,3;125;0,033;1;015.D2
123;Guolásjohka;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Gáivuotna %u2013 Kåfjord %u2013 Kaivuono;40;21.01.1971;21.01.1971;80.00;339.96;719,09;13,3;1,671;4;206.A10
34;Bogna;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Snåase %u2013 Snåsa;41;28.01.1971;28.01.1971;57.00;136.55;290;23,8;0,665;3;128.C43
528;Åna-Sira;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Flekkefjord;4;04.05.1971;04.05.1971;150.00;666.67;47;375,38;0,111;2;026.A
260;Løpet;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Åmot;29;01.07.1971;01.07.1971;29.00;163.10;18,89;176;0,046;1;002.JB1
363;Savalen;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Alvdal;38;14.09.1971;14.09.1971;62.00;124.93;230,8;32;0,537;1;002.N21
336;Rendalen;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Rendalen;32;16.10.1971;16.10.1971;100.50;771.40;209,69;60;0,465;1;002.JE8
531;Åsmulfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;23.11.1971;23.11.1971;12.00;85.03;10;133,33;0,025;3;139.D32
24;Bjerka;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Hemnes;32;01.01.1972;01.01.1972;20.00;136.93;357;6,59;0,842;4;155.AC0
868;Fossen;Kraftverk;BØRTER E VERK ANS;970458883;Akershus;2;Enebakk;29;01.01.1972;01.01.1972;0.07;0.20;;;;1;002.C4B
1009;Memurubu;Kraftverk;MEMURUBU TURISTHYTTE AS;982163013;Oppland;5;Lom;14;01.01.1972;01.01.1972;0.06;0.00;111;0,063;;3;002.DGG1Z
82;Finndøla;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Telemark;8;Fyresdal;31;28.10.1972;28.10.1972;108.00;266.36;298;42,97;0,698;2;019.DB22
377;Skjefstadfoss II;Kraftverk;ØSTERDALEN KRAFTPRODUKSJON AS;980343235;Hedmark;4;Elverum;27;20.11.1972;20.11.1972;19.80;135.02;12,8;220;0,025;1;002.H43
58;Dividalen;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Målselv;24;18.12.1972;18.12.1972;26.00;124.57;278,5;11,59;0,623;4;196.DA2
2;Adamselv;Kraftverk;STATKRAFT ENERGI AS;987059729;Finnmark - Finnmárku;20;Lebesby;22;01.01.1973;01.01.1973;50.00;215.00;200;30,19;0,46;4;229.3Z
418;Svelgen IV;Kraftverk;SVELGEN KRAFT AS;986530649;Sogn og Fjordane;14;Bremanger;38;01.01.1973;01.01.1973;50.00;278.24;360;16;0,867;3;086.21A
501;Vigelandsfoss;Kraftverk;HYDRO VIGELANDSFOSS AS;923263985;Vest-Agder;10;Vennesla;14;01.01.1973;01.01.1973;26.00;186.36;19,5;150,46;0,048;2;021.A22
1674;Bøaåni;Pumpe;E-CO ENERGI AS;976894677;Oppland;5;Vang;45;01.01.1973;01.01.1973;-1.18;0.00;;2,2;;1;012.Q3A
491;Vassli;Pumpe;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Oppdal;21;01.01.1973;01.01.1973;-10.00;-22.93;0;9,98;-0,277;3;109.CC1
10;Aurland I;Kraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;11.01.1973;11.01.1973;840.00;2508.25;850;112,5;2,074;5;072.B1A
63;Driva;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Møre og Romsdal;15;Sunndal;63;06.04.1973;06.04.1973;140.00;602.45;565,59;30,01;1,296;3;109.B20
445;Tjørhom;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Sirdal;46;06.07.1973;06.07.1973;120.00;582.80;158;90,08;0,37;2;026.H2
499;Åskåra 2;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Bremanger;38;12.09.1973;12.09.1973;42.00;227.88;534,2;8,5;1,307;3;086.6B0
380;Skjomen;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Narvik;5;25.11.1973;25.11.1973;300.00;1191.13;606,29;56,11;1,485;4;173.Z
367;Sjona;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Rana;33;02.12.1973;02.12.1973;52.00;231.98;267,7;22,6;0,639;4;157.1Z
509;Ylja;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Vang;45;19.12.1973;19.12.1973;65.00;145.96;685,5;11;1,641;1;012.Q3A
23;Bjelland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Marnardal;21;01.01.1974;01.01.1974;55.00;346.91;84,3;80,18;0,194;2;022.C4
292;Nedalsfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;01.01.1974;01.01.1974;25.00;73.04;96;30,05;0,231;3;123.G1
402;Stordal;Kraftverk;BKK PRODUKSJON AS;876944642;Sogn og Fjordane;14;Høyanger;16;19.01.1974;19.01.1974;26.00;57.23;115;28,7;0,252;5;067.3D2
266;Mauranger;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Kvinnherad;24;20.03.1974;20.03.1974;250.00;1145.97;830;36;1,929;5;046.32A1A
187;Jukla;Pumpekraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Kvinnherad;24;16.06.1974;16.06.1974;35.00;67.68;200;27,01;0,36;5;046.4BA
396;Solhom;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Kvinesdal;37;10.07.1974;10.07.1974;200.00;809.63;215;110,01;0,504;2;025.F2
477;Ulvik II;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Ulvik;33;20.08.1974;20.08.1974;20.00;92.91;380,6;5,8;0,958;5;051.3A
35;Borgund;Kraftverk;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Lærdal;22;04.10.1974;04.10.1974;212.00;1083.80;874;28;2,103;5;073.C12
1092;Leirosen;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;01.01.1975;01.01.1975;0.45;1.50;;;;4;179.4A
855;Slettevann;Kraftverk;LØVENSKIOLD FOSSUM KRAFT;982699614;Telemark;8;Skien;6;01.01.1975;01.01.1975;0.70;3.00;10,5;9;;2;016.AC21
1482;Grøndalsvatn;Pumpe;BKK PRODUKSJON AS;876944642;Hordaland;12;Voss;35;01.01.1975;01.01.1975;-1.36;0.00;0;4;-0,094;5;063.D2
262;Mardal;Pumpe;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Nesset;43;01.01.1975;01.01.1975;-6.00;-22.52;0;4;-0,416;3;104.B3C
276;Monge;Pumpe;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Rauma;39;01.01.1975;01.01.1975;-0.80;-3.77;0;1,29;-0,171;3;103.A2B
512;Øljusjøen;Pumpekraftverk;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Lærdal;22;17.01.1975;17.01.1975;50.00;44.74;211,8;24;0,462;5;073.CB0
116;Grytten;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Rauma;39;13.03.1975;13.03.1975;143.50;680.59;953,4;17,7;2,252;3;103.A20
67;Døvikfoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Modum;23;10.04.1975;10.04.1975;15.00;103.16;6,09;297,61;0,014;1;012.B6
79;Fagerli;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;01.06.1975;01.06.1975;48.00;247.79;231,69;24;0,556;4;164.D5
102;Funnefoss;Kraftverk;GLOMMA KRAFTPRODUKSJON AS;987287608;Akershus;2;Nes i Akershus;36;01.06.1975;01.06.1975;40.00;193.59;10,5;444,44;0,025;1;2.00E+12
212;Kongsvinger;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Kongsvinger;2;01.07.1975;01.07.1975;42.70;191.57;10,25;510;0,023;1;002.F1
32;Blåfalli III L;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Kvinnherad;24;01.01.1976;01.01.1976;5.00;19.37;57;9,02;0,153;2;042.B2
342;Roppa;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Gausdal;22;01.07.1976;01.07.1976;5.00;31.23;473;1,29;1,067;1;002.DDD0
515;Øvre Fiskumfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;01.11.1976;01.11.1976;7.60;55.72;6,69;140,74;0,014;3;139.C4
494;Vemundsbotn;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Masfjorden;66;12.12.1976;12.12.1976;45.00;168.18;234;23,2;0,539;5;067.2C2
59;Djupdal;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Rollag;32;21.12.1976;21.12.1976;14.30;62.78;16;120;0,037;1;015.G21
485;Møllen;Kraftverk;SMÅKRAFT AS;984616155;Hordaland;12;Vaksdal;51;01.01.1977;01.01.1977;2.00;13.95;80;3,3;0,179;5;061.4Z
1165;Spetal Verk As;Kraftverk;;;Hedmark;4;Kongsvinger;2;01.01.1977;01.01.1977;0.02;0.02;;;;1;002.F1
413;Svandalsflona;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Hordaland;12;Odda;28;01.01.1977;01.01.1977;20.00;42.25;200;11;0,504;2;036.FB
527;Åmela;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Volda;19;01.01.1977;01.01.1977;32.00;131.26;525;7,19;1,235;3;094.1Z
54;Båtsvatn;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Narvik;5;03.03.1977;03.03.1977;30.00;104.91;204,8;17,01;0,49;4;173.C3
285;Mørre;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Åfjord;18;07.03.1977;07.03.1977;13.60;54.07;81,3;19,98;0,188;3;135.3Z
22;Bingsfoss;Kraftverk;GLOMMA KRAFTPRODUKSJON AS;987287608;Akershus;2;Sørum;26;15.06.1977;15.06.1977;32.50;199.80;5;820;0,011;1;002.D4
770;Hellandsfossen;Kraftverk;MODALEN KRAFTLAG SA;877051412;Hordaland;12;Modalen;52;01.07.1977;01.07.1977;2.50;8.20;31;11;0,048;5;064.A
38;Bratsberg;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim ;1;01.10.1977;01.10.1977;124.00;621.16;145;105;0,328;3;123.A6
238;Lassajavrri;Kraftverk;KVÆNANGEN KRAFTVERK AS;913680294;Troms;19;Kvænangen;43;01.10.1977;01.10.1977;7.20;31.35;146;6,19;0,324;4;209.4AC
359;Dalvatn;Kraftverk;Aktieselskabet Saudefaldene;915729290;Rogaland;11;Sauda;35;01.01.1978;01.01.1978;35.40;173.38;185;22,1;0,445;2;037.B9
151;Hofsfoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Ringerike;5;01.01.1978;01.01.1978;27.00;141.44;26,79;120,97;0,061;1;012.F22
176;Høyanger K5B;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Høyanger;16;01.01.1978;01.01.1978;16.40;107.07;729;2,7;1,687;3;079.7B
235;Langvatn;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Gildeskål;38;01.01.1978;01.01.1978;5.40;29.77;60,59;10,78;0,138;4;161.1B2B
964;Mago C;Kraftverk;E-CO ENERGI AS;976894677;Akershus;2;Eidsvoll;37;01.01.1978;01.01.1978;0.78;6.00;;;;1;002.DAA
345;Rygene;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Grimstad;4;01.01.1978;01.01.1978;55.00;315.93;36,2;172,5;0,089;2;019.A3
357;Sarp;Kraftverk;E-CO ENERGI AS;976894677;Østfold;1;Sarpsborg;5;01.01.1978;01.01.1978;80.00;544.02;20,5;425;0,052;1;002.A51
267;Melkefoss;Kraftverk;PASVIK KRAFT AS;982795745;Finnmark - Finnmárku;20;Sør-Varanger;30;01.09.1978;01.09.1978;22.00;141.11;10,19;254,63;0,024;4;246.C1
242;Leirdøla;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Luster;26;23.10.1978;23.10.1978;125.00;451.07;454;31;1,067;5;076.B2Z
37;Braskereidfoss;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Våler i Hedmark;26;12.12.1978;12.12.1978;35.95;163.10;9,5;450;0,022;1;002.H12
84;Fiskefjord;Kraftverk;TROLLFJORD KRAFT AS;917983585;Nordland;18;Hadsel;66;01.01.1979;01.01.1979;1.50;5.44;60;2,89;0,143;4;178.42A
252;Lomi;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;01.01.1979;01.01.1979;118.00;362.66;560;25,01;1,311;4;164.D9
1196;Rise;Kraftverk;;;Trøndelag;50;Midtre Gauldal;27;01.01.1979;01.01.1979;0.04;0.20;;;;3;122.BAA0
64;Duge;Pumpekraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Rogaland;11;Forsand;29;01.03.1979;01.03.1979;200.00;302.66;220;99,91;0,555;2;026.M
356;Sama;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Melhus;28;12.05.1979;12.05.1979;7.90;26.07;49,59;16,2;0,135;3;122.AC4
203;Kjela;Kraftverk;STATKRAFT ENERGI AS;987059729;Telemark;8;Vinje;34;30.06.1979;30.06.1979;62.00;282.35;174;41;0,419;2;016.BEE2
403;Strandfossen;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Elverum;27;01.07.1979;01.07.1979;25.00;148.48;12,5;248,02;0,028;1;002.H62
13;Aurland III;Pumpekraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;30.07.1979;30.07.1979;270.00;170.13;400;79,95;0,938;5;072.G
209;Kolsvik;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Bindal;11;25.09.1979;25.09.1979;128.00;549.06;519;30,6;1,162;4;144.61AB0
375;Skibotn;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Storfjord %u2013 Omasvuotna %u2013 Omasvuono;39;07.11.1979;07.11.1979;70.00;340.48;440;18,5;1,051;4;205.A7
354;Sagfossen;Kraftverk;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Hamarøy %u2013 Hábmer;49;20.11.1979;20.11.1979;11.30;52.45;45;28,54;0,109;4;170.A
343;Roskrepp;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Sirdal;46;19.12.1979;19.12.1979;50.00;135.58;88;67,09;0,207;2;025.J0
132;Hasselelva;Kraftverk;RISSA KRAFTLAG SA;915420400;Trøndelag;50;Indre Fosen;54;01.01.1980;01.01.1980;1.10;4.06;60;2,29;0,133;3;132.2AA0
261;Mago D;Kraftverk;E-CO ENERGI AS;976894677;Akershus;2;Eidsvoll;37;01.01.1980;01.01.1980;1.60;6.31;8;26,13;0,017;1;002.DAA11
456;Trysilfossen;Kraftverk;GLOPPEN ENERGI AS;993039330;Sogn og Fjordane;14;Gloppen;45;01.01.1980;01.01.1980;3.20;21.64;11,5;32,91;0,027;3;087.A3
965;Verksfossen;Kraftverk;LØVENSKIOLD-VÆKERØ Carl Otto Løvenskiold;971083107;Akershus;2;Nittedal;33;01.01.1980;01.01.2002;0.40;2.00;;;;1;002.CD2
80;Faslefoss;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Nord-Aurdal;42;01.03.1980;01.03.1980;17.80;77.40;37,5;60,29;0,082;1;012.K
170;Hølseter;Kraftverk;SKAGERAK KRAFT AS;979563531;Buskerud;6;Flesberg;31;01.03.1980;01.03.1980;2.00;9.04;70;3,6;0,153;1;015.F4C
317;Oksla;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Odda;28;11.04.1980;11.04.1980;206.00;972.97;450;52,02;1,067;2;049.A2
231;Lang-Sima;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Eidfjord;32;20.05.1980;20.05.1980;500.00;1366.14;1065;51,7;2,686;5;050.4Z
167;Hylen;Kraftverk;STATKRAFT ENERGI AS;987059729;Rogaland;11;Suldal;34;04.08.1980;04.08.1980;160.00;946.51;68;269,35;0,165;2;036.B23
489;Aurland IV (Vangen);Kraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;25.09.1980;25.09.1980;38.00;112.20;55;90;0,117;5;072.2Z
138;Heierenfossen;Kraftverk;BRULAND ENERGI AS;983076769;Buskerud;6;Ringerike;5;01.01.1981;01.01.1981;0.60;4.52;9,7;9;0,018;1;012.DA0
239;Laudal;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Marnardal;21;01.01.1981;01.01.1981;32.00;184.69;36;109,73;0,081;2;022.B222
269;Middyr;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Hordaland;12;Odda;28;01.01.1981;01.01.1981;1.30;5.33;66;2,41;0,15;2;036.G1E
1195;Ola Rise;Kraftverk;;;Trøndelag;50;Midtre Gauldal;27;01.01.1981;01.01.1981;0.02;0.06;;;;3;122.BAB
400;Steinsland;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Modalen;52;01.01.1981;01.01.1981;170.00;755.60;451,3;41;1,152;5;064.B1
1174;Strandfossen Minikraftverk;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Elverum;27;01.01.1981;01.01.1981;0.13;0.60;3,25;5;;1;002.H712
41;Breive;Pumpe;OTTERAAENS BRUGSEIERFORENING;959951829;Aust-Agder;9;Bykle;41;01.01.1981;01.01.1981;-20.00;-16.79;0;19,97;-0,277;2;021.JA0
1884;Heieren;Kraftverk;SKJÆRDALEN EIENDOM AS;915956858;Buskerud;6;Ringerike;5;30.06.1981;30.06.1981;0.32;1.70;58;0,76;0,117;1;012.D8A0
321;Osa;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Åmot;29;29.07.1981;29.07.1981;90.00;306.32;200;54,95;0,455;1;002.JC30
471;Tøsse;Kraftverk;SMÅKRAFT AS;984616155;Hordaland;12;Osterøy;53;19.08.1981;19.08.1981;3.50;14.25;52;5,9;0,165;5;060.6Z
423;Sy-Sima;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Eidfjord;32;15.09.1981;15.09.1981;620.00;2158.19;905;80;2,153;5;050.4AZ
775;Flatenfoss 2;Kraftverk;ARENDALS FOSSEKOMPANI ASA;910261525;Aust-Agder;9;Åmli;29;01.10.1981;01.10.1981;5.50;35.85;10,38;60;0,021;2;019.C22
136;Heggmoen;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Bodø;4;17.10.1981;17.10.1981;10.00;52.25;116,69;9,98;0,277;4;165.1B
223;Kvinen;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Sirdal;46;01.11.1981;01.11.1981;80.00;258.68;120;76,88;0,289;2;026.H3B
158;Holen I-II;Kraftverk;OTRA KRAFT DA;955007514;Aust-Agder;9;Bykle;41;21.11.1981;21.11.1981;230.00;584.70;250;109,02;0,586;2;021.GB12B
