,node,commodity,level,year,time,lvl,mrg
98,South Africa,gas,final,2040,year,254.14832,0.0
99,South Africa,gas,final,2050,year,224.94237,0.0
100,South Africa,gas,final,2060,year,302.69998,0.0
101,South Africa,gas,final,2070,year,205.82034,0.0
102,South Africa,gas,primary,2020,year,183.6092,0.0
103,South Africa,gas,primary,2030,year,193.92888,0.0
104,South Africa,gas,primary,2040,year,210.73853,0.0
105,South Africa,gas,primary,2050,year,238.11967,0.0
106,South Africa,gas,primary,2060,year,282.72067,0.0
107,South Africa,gas,primary,2070,year,355.371,0.0
108,South Africa,gas,secondary,2020,year,181.1574,0.0
109,South Africa,gas,secondary,2030,year,193.92888,0.0
110,South Africa,gas,secondary,2040,year,172.72008,0.0
111,South Africa,gas,secondary,2050,year,163.13748,0.0
112,South Africa,gas,secondary,2060,year,210.14006,0.0
113,South Africa,gas,secondary,2070,year,112.0614,0.0
114,South Africa,fueloil,final,2020,year,195.50383,0.0
115,South Africa,fueloil,final,2030,year,229.91486,0.0
116,South Africa,fueloil,final,2040,year,243.08856,0.0
117,South Africa,fueloil,final,2050,year,289.44452,0.0
118,South Africa,fueloil,final,2060,year,388.43082,0.0
119,South Africa,fueloil,final,2070,year,230.33775,0.0
120,South Africa,fueloil,secondary,2020,year,193.5488,0.0
121,South Africa,fueloil,secondary,2030,year,227.6157,0.0
122,South Africa,fueloil,secondary,2040,year,240.65768,0.0
123,South Africa,fueloil,secondary,2050,year,286.5501,0.0
124,South Africa,fueloil,secondary,2060,year,384.54654,0.0
125,South Africa,fueloil,secondary,2070,year,228.03438,0.0
126,South Africa,i_spec,useful,2020,year,672.672,0.0
127,South Africa,i_spec,useful,2030,year,552.6791,0.0
128,South Africa,i_spec,useful,2040,year,467.7969,0.0
129,South Africa,i_spec,useful,2050,year,528.4411,0.0
130,South Africa,i_spec,useful,2060,year,517.43884,0.0
131,South Africa,i_spec,useful,2070,year,440.2671,0.0
