,node,commodity,level,year,time,lvl,mrg
44,South Africa,i_feed,useful,2040,year,181.37498,0.0
45,South Africa,i_feed,useful,2050,year,169.56523,0.0
46,South Africa,i_feed,useful,2060,year,200.39543,0.0
47,South Africa,i_feed,useful,2070,year,153.32623,0.0
48,South Africa,biomass,final,2020,year,55.0,0.0
49,South Africa,biomass,final,2030,year,60.0,0.0
50,South Africa,biomass,final,2040,year,65.0,0.0
51,South Africa,biomass,final,2050,year,70.0,0.0
52,South Africa,biomass,final,2060,year,75.0,0.0
53,South Africa,biomass,final,2070,year,80.0,0.0
54,South Africa,biomass,primary,2020,year,50.0,0.0
55,South Africa,biomass,primary,2030,year,50.0,0.0
56,South Africa,biomass,primary,2040,year,50.0,0.0
57,South Africa,biomass,primary,2050,year,50.0,0.0
58,South Africa,biomass,primary,2060,year,50.0,0.0
59,South Africa,biomass,primary,2070,year,50.0,0.0
60,South Africa,electr,final,2020,year,931.0821,0.0
61,South Africa,electr,final,2030,year,437.78073,0.0
62,South Africa,electr,final,2040,year,348.3388,0.0
63,South Africa,electr,final,2050,year,457.08307,0.0
64,South Africa,electr,final,2060,year,474.54312,0.0
65,South Africa,electr,final,2070,year,385.70947,0.0
66,South Africa,electr,secondary,2020,year,598.1943,0.0
67,South Africa,electr,secondary,2030,year,134.87144,0.0
68,South Africa,electr,secondary,2040,year,95.75028,0.0
69,South Africa,electr,secondary,2050,year,163.41414,0.0
70,South Africa,electr,secondary,2060,year,136.9378,0.0
71,South Africa,electr,secondary,2070,year,112.73868,0.0
72,South Africa,lightoil,final,2020,year,224.55005,0.0
73,South Africa,lightoil,final,2030,year,60.74074,0.0
74,South Africa,lightoil,final,2040,year,181.37498,0.0
75,South Africa,lightoil,final,2050,year,169.56523,0.0
76,South Africa,lightoil,final,2060,year,200.39543,0.0
77,South Africa,lightoil,final,2070,year,153.32623,0.0
78,South Africa,lightoil,secondary,2020,year,222.30457,0.0
79,South Africa,lightoil,secondary,2030,year,60.13334,0.0
80,South Africa,lightoil,secondary,2040,year,179.56125,0.0
81,South Africa,lightoil,secondary,2050,year,167.86958,0.0
82,South Africa,lightoil,secondary,2060,year,198.39148,0.0
83,South Africa,lightoil,secondary,2070,year,151.79298,0.0
84,South Africa,crudeoil,primary,2020,year,164.33649,0.0
85,South Africa,crudeoil,primary,2030,year,198.10187,0.0
86,South Africa,crudeoil,primary,2040,year,220.21922,0.0
87,South Africa,crudeoil,primary,2050,year,258.01212,0.0
88,South Africa,crudeoil,primary,2060,year,295.805,0.0
89,South Africa,crudeoil,primary,2070,year,362.1899,0.0
90,South Africa,crudeoil,secondary,2020,year,164.33649,0.0
91,South Africa,crudeoil,secondary,2030,year,198.10187,0.0
92,South Africa,crudeoil,secondary,2040,year,220.21922,0.0
93,South Africa,crudeoil,secondary,2050,year,258.01212,0.0
94,South Africa,crudeoil,secondary,2060,year,295.805,0.0
95,South Africa,crudeoil,secondary,2070,year,333.59787,0.0
96,South Africa,gas,final,2020,year,596.8517,0.0
97,South Africa,gas,final,2030,year,301.2407,0.0
98,South Africa,gas,final,2040,year,254.14832,0.0
99,South Africa,gas,final,2050,year,224.94237,0.0
100,South Africa,gas,final,2060,year,302.69998,0.0
