,node,year,lvl,mrg
0,World,2020,0.0,0.0
1,World,2030,0.0,0.0
2,World,2040,0.0,0.0
3,World,2050,0.0,0.0
4,World,2060,0.0,0.0
5,World,2070,0.0,0.0
6,South Africa,2020,50948.582,0.0
7,South Africa,2030,44556.902,0.0
8,South Africa,2040,45588.44,0.0
9,South Africa,2050,53274.1,0.0
10,South Africa,2060,51641.332,0.0
11,South Africa,2070,43243.785,0.0
