,node_loc,technology,year_vtg,lvl,mrg
0,South Africa,bio_istig,2010,0.0,0.0
1,South Africa,bio_istig,2020,0.00457964,0.0
2,South Africa,bio_istig,2030,0.0015968217,0.0
3,South Africa,bio_istig,2040,0.0005567773,0.0
4,South Africa,bio_istig,2050,0.00019413623,0.0
5,South Africa,bio_istig,2060,6.7691115e-05,0.0
6,South Africa,bio_istig,2070,2.3602433e-05,0.0
7,South Africa,biomass_i,1995,0.0,0.0
8,South Africa,biomass_i,2000,0.0,0.0
9,South Africa,biomass_i,2005,0.0,0.0
10,South Africa,biomass_i,2010,0.0,0.0
11,South Africa,biomass_i,2020,0.24738136,0.0
12,South Africa,biomass_i,2030,0.14811637,0.0
13,South Africa,biomass_i,2040,0.08868273,0.0
14,South Africa,biomass_i,2050,0.053097628,0.0
15,South Africa,biomass_i,2060,0.031791512,0.0
16,South Africa,biomass_i,2070,0.019034753,0.0
17,South Africa,biomass_nc,1990,0.0,0.0
18,South Africa,biomass_nc,1995,0.0,0.0
19,South Africa,biomass_nc,2000,0.0,0.0
20,South Africa,biomass_nc,2005,0.0,0.0
21,South Africa,biomass_nc,2010,0.0,0.0
22,South Africa,biomass_nc,2020,0.0,0.0
23,South Africa,biomass_nc,2030,0.0,0.0
24,South Africa,biomass_nc,2040,0.0,0.0
25,South Africa,biomass_nc,2050,0.0,0.0
26,South Africa,biomass_nc,2060,0.0,0.0
27,South Africa,biomass_nc,2070,0.0,0.0
28,South Africa,coal_extr,1990,0.0,0.0
29,South Africa,coal_extr,1995,0.0,0.0
30,South Africa,coal_extr,2000,0.0,0.0
31,South Africa,coal_extr,2005,0.0,0.0
32,South Africa,coal_extr,2010,0.0,0.0
33,South Africa,coal_extr,2020,21.555555,0.0
34,South Africa,coal_extr,2030,25.04934,0.0
35,South Africa,coal_extr,2040,26.627264,0.0
36,South Africa,coal_extr,2050,30.164467,0.0
37,South Africa,coal_extr,2060,35.84806,0.0
38,South Africa,coal_extr,2070,44.557446,0.0
39,South Africa,coal_adv,2010,0.0,0.0
40,South Africa,coal_adv,2020,0.3574807,0.0
41,South Africa,coal_adv,2030,0.124645814,0.0
42,South Africa,coal_adv,2040,0.043461308,0.0
43,South Africa,coal_adv,2050,0.4049037,0.0
44,South Africa,coal_adv,2060,0.1411812,0.0
45,South Africa,coal_adv,2070,0.04922684,0.0
46,South Africa,coal_adv_ccs,2020,0.0,653.9784
47,South Africa,coal_adv_ccs,2030,0.0,0.0
48,South Africa,coal_adv_ccs,2040,0.0,0.0
49,South Africa,coal_adv_ccs,2050,0.0,0.0
50,South Africa,coal_adv_ccs,2060,0.0,0.0
51,South Africa,coal_adv_ccs,2070,0.0,0.0
52,South Africa,coal_ppl,1995,0.0,0.0
53,South Africa,coal_ppl,2000,0.0,0.0
54,South Africa,coal_ppl,2005,0.0,0.0
55,South Africa,coal_ppl,2010,0.0,0.0
56,South Africa,coal_ppl,2020,2.5815606,0.0
57,South Africa,coal_ppl,2030,1.9862845,0.0
58,South Africa,coal_ppl,2040,1.9197348,0.0
59,South Africa,coal_ppl,2050,3.0,0.0
60,South Africa,coal_ppl,2060,3.0,0.0
61,South Africa,coal_ppl,2070,3.0,0.0
62,South Africa,igcc,2010,0.0,0.0
63,South Africa,igcc,2020,0.1754707,0.0
64,South Africa,igcc,2030,0.06118285,0.0
65,South Africa,igcc,2040,0.02133314,0.0
66,South Africa,igcc,2050,0.88571304,0.0
67,South Africa,igcc,2060,0.5920812,0.0
68,South Africa,igcc,2070,1.3308989,0.0
69,South Africa,igcc_ccs,2020,0.0,635.376
70,South Africa,igcc_ccs,2030,0.0,0.0
71,South Africa,igcc_ccs,2040,0.0,0.0
72,South Africa,igcc_ccs,2050,0.0,0.0
73,South Africa,igcc_ccs,2060,0.0,0.0
74,South Africa,igcc_ccs,2070,0.0,0.0
75,South Africa,coal_i,1990,0.0,0.0
76,South Africa,coal_i,1995,0.0,0.0
77,South Africa,coal_i,2000,0.0,0.0
78,South Africa,coal_i,2005,0.0,0.0
79,South Africa,coal_i,2010,0.0,0.0
80,South Africa,coal_i,2020,1.0345086,0.0
81,South Africa,coal_i,2030,0.64945227,0.0
82,South Africa,coal_i,2040,0.9907604,0.0
83,South Africa,coal_i,2050,1.1276911,0.0
84,South Africa,coal_i,2060,1.3386579,0.0
85,South Africa,coal_i,2070,2.8094273,0.0
86,South Africa,gas_cc,1995,0.0,0.0
87,South Africa,gas_cc,2000,0.0,0.0
88,South Africa,gas_cc,2005,0.0,0.0
89,South Africa,gas_cc,2010,0.0,0.0
90,South Africa,gas_cc,2020,1.9260349,0.0
91,South Africa,gas_cc,2030,2.258096,0.0
92,South Africa,gas_cc,2040,1.2943639,0.0
93,South Africa,gas_cc,2050,3.0,0.0
94,South Africa,gas_cc,2060,3.0,0.0
95,South Africa,gas_cc,2070,2.462662,0.0
96,South Africa,gas_cc_ccs,2020,0.0,266.53625
97,South Africa,gas_cc_ccs,2030,0.0,0.0
98,South Africa,gas_cc_ccs,2040,0.0,0.0
99,South Africa,gas_cc_ccs,2050,0.0,0.0
100,South Africa,gas_cc_ccs,2060,0.0,0.0
101,South Africa,gas_cc_ccs,2070,0.0,0.0
102,South Africa,gas_ct,1990,0.0,0.0
103,South Africa,gas_ct,1995,0.0,0.0
104,South Africa,gas_ct,2000,0.0,0.0
105,South Africa,gas_ct,2005,0.0,0.0
106,South Africa,gas_ct,2010,0.0,0.0
107,South Africa,gas_ct,2020,0.0,0.0
108,South Africa,gas_ct,2030,0.0,0.0
109,South Africa,gas_ct,2040,0.0,0.0
110,South Africa,gas_ct,2050,0.6723302,0.0
111,South Africa,gas_ct,2060,0.9533015,0.0
112,South Africa,gas_ct,2070,0.33239567,0.0
113,South Africa,gas_ppl,1990,0.0,0.0
114,South Africa,gas_ppl,1995,0.0,0.0
115,South Africa,gas_ppl,2000,0.0,0.0
116,South Africa,gas_ppl,2005,0.0,0.0
117,South Africa,gas_ppl,2010,0.0,0.0
118,South Africa,gas_ppl,2020,0.029513957,0.0
119,South Africa,gas_ppl,2030,0.010290881,0.0
120,South Africa,gas_ppl,2040,0.003588208,0.0
121,South Africa,gas_ppl,2050,0.0012511308,0.0
122,South Africa,gas_ppl,2060,0.00043624232,0.0
123,South Africa,gas_ppl,2070,0.00015210829,0.0
124,South Africa,gas_t_d,1990,0.0,0.0
125,South Africa,gas_t_d,1995,0.0,0.0
126,South Africa,gas_t_d,2000,0.0,0.0
127,South Africa,gas_t_d,2005,0.0,0.0
128,South Africa,gas_t_d,2010,0.0,0.0
129,South Africa,gas_t_d,2020,0.20887206,0.0
130,South Africa,gas_t_d,2030,0.0027564955,0.0
131,South Africa,gas_t_d,2040,0.097567245,0.0
132,South Africa,gas_t_d,2050,0.42109123,0.0
133,South Africa,gas_t_d,2060,0.37802908,0.0
134,South Africa,gas_t_d,2070,0.63241726,0.0
135,South Africa,gas_i,1990,0.0,0.0
136,South Africa,gas_i,1995,0.0,0.0
137,South Africa,gas_i,2000,0.0,0.0
138,South Africa,gas_i,2005,0.0,0.0
139,South Africa,gas_i,2010,0.0,0.0
140,South Africa,gas_i,2020,0.15837769,0.0
141,South Africa,gas_i,2030,0.09482657,0.0
142,South Africa,gas_i,2040,0.05677617,0.0
143,South Africa,gas_i,2050,0.03399399,0.0
144,South Africa,gas_i,2060,0.020353457,0.0
145,South Africa,gas_i,2070,0.012186367,0.0
146,South Africa,foil_ppl,1990,0.0,0.0
147,South Africa,foil_ppl,1995,0.0,0.0
148,South Africa,foil_ppl,2000,0.0,0.0
149,South Africa,foil_ppl,2005,0.0,0.0
150,South Africa,foil_ppl,2010,0.0,0.0
151,South Africa,foil_ppl,2020,0.01635094,0.0
152,South Africa,foil_ppl,2030,0.00570122,0.0
153,South Africa,foil_ppl,2040,0.0019878924,0.0
154,South Africa,foil_ppl,2050,0.00069313525,0.0
155,South Africa,foil_ppl,2060,0.00024168132,0.0
156,South Africa,foil_ppl,2070,8.4269064e-05,0.0
157,South Africa,foil_i,1990,0.0,0.0
158,South Africa,foil_i,1995,0.0,0.0
159,South Africa,foil_i,2000,0.0,0.0
160,South Africa,foil_i,2005,0.0,0.0
161,South Africa,foil_i,2010,0.0,0.0
162,South Africa,foil_i,2020,0.21085513,0.0
163,South Africa,foil_i,2030,0.12624675,0.0
164,South Africa,foil_i,2040,0.07558859,0.0
165,South Africa,foil_i,2050,0.045257684,0.0
166,South Africa,foil_i,2060,0.027097447,0.0
