,node,year,lvl,mrg
0,World,2020,0.0,0.0
1,World,2030,0.0,0.0
2,World,2040,0.0,0.0
3,World,2050,0.0,0.0
4,World,2060,0.0,0.0
5,World,2070,0.0,0.0
6,South Africa,2020,46970.562,0.0
7,South Africa,2030,39700.418,0.0
8,South Africa,2040,39010.613,0.0
9,South Africa,2050,42796.402,0.0
10,South Africa,2060,38329.44,0.0
11,South Africa,2070,27966.588,0.0
